,Post,Keyword
30,RT @USER_4cecd527: @USER_79321756 haha you're stupid...&gt;&gt;Nope I'm smart:),0
31,Just talkin too for real. Ha.,0
32,Regardless of the kind of relationship you and your parents have they recognize you..mines are both proud of me..and I will keep that goin.,0
33,Am I proud of both of them? No. Maybe 1 of em. Ha.,0
34,Waiting for my lil bro to get home..this guy is spoiled. After wrestling practice he had his god mom take him to red robins like moms does..,0
35,@USER_920f4fcd haha as you are to me!,0
36,RT @USER_d5d93fec: She hates PORK @USER_621b922f hahahahaha,0
37,Nigga did I eat today?! Lol. - I wanna watch that katt.,0
38,All my bitches love me..all my all my bitches love me..,0
39,@USER_2c8fc9a4 boy stop. Lol.,0
40,RT @USER_dc5e5498: @USER_79321756 so your trying to say im pressed. #SuperTweeter ?? lmao hahah&gt;&gt;Lol. I'd rather get em on twitter only. Lol.,0
41,@USER_2c8fc9a4 ...(Rollin my neck) don't even know da flavor!,0
42,#FF those closest 2me: @USER_60939380 @USER_77a4822d @USER_2ff4faca @USER_d35ae058 @USER_4cf4c347 @USER_e794c52b @USER_d6d5e1bc @USER_6a8ee939 @USER_a9fe21e9,0
43,"#FF @USER_719853c2 cause everybody who knows me know he's my favorite! Since I was. Baby! ""You can learn from a baby""! Lol. Yup. He said it..",0
44,Time to go..walkn out the dooe to handle some major family bi cause we do this.,0
45,Oh damn it! I almost forgot! I'm taking my guy out top lunch for his bday later! I really need to get things rollin!,0
46,#FF Peppers and Salt..lol aka the new boys :) Jk. @USER_62abd48d @USER_9763f55c,0
47,RT @USER_620cd4b9: #FF @USER_79321756 just as crazy as she wanna be and be on that subliminal tweet game :)&gt;&gt;Lol ! Whatever! Haha.,0
48,#FF @USER_bf0c404a @USER_3e5d8635 @USER_21fe2e90 @USER_69eb3261 @USER_6163949a @USER_719853c2 @USER_43495dcd @USER_7f983577,0
49,RT @USER_ccd38822: Hope y'all like my new profile pict #wordaapp&gt;&gt;yupp I like dat. That white and green looks sO fresh! #wordaapp :) haha.,0
50,RT @USER_2c8fc9a4: If I can't #ff you by next week I'm unfollowing yo non-twit ass&gt;&gt;And that's the rule!,0
51,RT @USER_dc5e5498: RT @USER_1ab41641: Thank you lord for this day... Time to bust moves!!,0
52,And although phones dyin! Got that joog thru!,0
53,Suga free goin hard right now!,0
54,Me and moms text:) : Congratulations babe im so happy 4 you.&gt;&gt;Thanks! We gonna be alright! Keep ur head up!,0
55,Fuck it! All nighter! I'm celebrating my life tonight! So happy!,0
56,"RT @USER_620cd4b9: @USER_79321756 hey now! Leave me, and my big eyes alone LOL&gt;&gt;lol NO! :*",0
57,Eyebrows did! Rollthisrightquick. Haha. Dmnds,0
58,RT @USER_f7506b59: u ever get a text from someone and it just makes ur body melt.. u get soo happy and nothing else even matters....&gt;Yes:),0
59,RT @USER_f7506b59: ..funny how things can change in a matter of seconds&gt;&gt;and shit was all good a week ago!,1
60,RT @USER_9763f55c: Beautiful day! Headin to LA&gt;&gt;beautiful day in the town too! Have fun!,0
61,Hey! RT @USER_7ec2204e: Lol! Virgo 4 life! RT @USER_79321756: #FF @USER_7ec2204e he's funny too! And that my Virgo! That is you and not mone right!? Lol,0
62,RT @USER_7ec2204e: @USER_79321756 I didn't say anything about cake...? Lol&gt;&gt;lol but she makes one err week so I know there's one! Duh!,0
63,I work. You work! And we double dat up! #simple #assnigga lol!,0
64,Haha. We had to stop by my grandmas cause my lil bros mouth started bleeding hella! Ugh! She pulled that tooth out! Gotta love her!,0
65,Apple bees for dinner with the fam and my bf @USER_60939380 !:) ima start my patron feast there! @USER_6841a093 how ya feeeeeel?,0
66,Alllllllll da way turnnnnnd up! You can catch me out gsc bouncin tonight!!,0
67,Its been a long time since I stepppped out in da town! My girl said u steppin out tonight or u work n da a.m! I said..Both! #celebrating!,0
68,RT @USER_621b922f: Done with dinner... Quick trip to the mall.&gt;&gt;Man I needed to go there! Lol.,0
69,If I was yo boy friend I wouldn't give you no dick to keep yo ass in check! --suga free,0
70,This Is pimpiiiiiiiiiin.,0
71,@USER_621b922f thanks:). Lol.,0
72,Summa summa summa tiiiiiiimmmmme!,0
73,I been all around da world..been in da bed wit 2 girls..But I neva been a snitch.. --#nowplaying this Messy..,0
74,@USER_d6d5e1bc And come get these shoes. foo..lol. Dayumn! Babys grow! You might as well hang dem up! Jk,0
75,I should go get some HENNY! But ima chill out:).,0
76,And I really don't drink like that. I've been doing better though. Aint been getting sick! Hey!,1
77,My backs hurting,0
78,"RT @USER_4dec75c1: Happy Birthday to Flashlight aka sha sha without a y, aka @USER_7a3dc57a : from the Bankheads&gt;&gt;lol! Aye!Happy bday shay!",0
79,RT @USER_79321756: My backs hurting&gt;&gt;reading my time line and my back hurts even worse today! Dayum! Ha.,0
80,Last break is over..I'm goin in! And it was super late! I'm off at 230! Can't wait! Crab and chicken callin my name callin my name!:),0
81,So I wonder how tweeps would feel if I tweeted ... @USER_7f983577 is takin a shit. Don't tell nobody else... #justwondering,1
82,Watching LOST,0
83,@USER_89a3500b i did,0
84,"Maneuver so that I can put my team on, hopefully sooner so that we can live our dreams on",0
85,Darko was eating hamburgers in the locker room before they played the knicks. Lol,0
86,Girl pack ya bags i'm bout to take you on a ride!,0
87,"@USER_a9cf8f82 lol, yeah check it out bro",0
88,"RT @USER_5eae722d: #inhighschool me & Mr. Stavisky dnt lk each other, his breath smelled lk straight ass! - lmao he use 2 chase us dn the hall",0
89,#inhighschool trenton high girls basketball team always had the best record out of all the highschool sports teams. Nothing has changed,0
90,The cheerleading team need Mrs. Grady back,0
91,This girl Ashley Hines from is a beast. They can't stop her,0
92,Da High always had the best fans. Going way back before I was #inhighschool,0
93,#rip to my jack daniels burger,0
94,"@USER_43aad9dc oh she's back... It looks like life hit her hard. I'm bout to approach with caution. ""Cheer up babe"" how does that sound?",0
95,Liquor makes you feel.....,0
96,The other Credit Union needs to hurry up and get repaired so it can reopen. This Ewing line is crazy long (pause),0
97,Looking for a new dj to be down with the squad...,0
98,RT @USER_1ec848f9: RT @USER_6197f95d: Looking for a new dj to be down with the squad...---on it - good look laylei. I need a permanent one.,0
99,Hello World,0
100,"RT @USER_a9cf8f82: @USER_2f81238c the whole crew if that makes since... - lol, it does",0
101,"@USER_6bd290f1 yo look at Bub Luv, he over there baby-sitting",0
102,J-Luv said he had in it in his freezer for 4 months,0
103,RT @USER_52987190: @USER_6197f95d wheres that? - what abyss or the party?,0
104,@USER_6bd290f1 Uncle DJ been going in,0
105,#Nowplaying Bub Luv - All I See Is Mad Lights,0
106,Funk flex isn't at Abyss... Wtf- just seen somebody who saif yo u my cousin any problems I'll sove em... Beware haters!,0
107,Everybody had dreads in Abyss... #truestory,0
108,Forget ma stoopiid friiends!!!,0
109,@USER_00791b0d nuttiin much_how bout u!,0
110,RT @USER_00791b0d: RT @USER_ce270acf: @USER_00791b0d iigthy uu neiither lol -- iwont =]--kewls,0
111,@USER_e870cfe3 umm its souljawfy,0
112,Smt mommy hurry manqqs :(,0
113,@USER_9ab6645a not much!! Bout to wrk on ma ipod,0
114,@USER_f3036c75 ohhhh ohkayy what time,0
115,RT @USER_2e88a288: #randomthoughts WHO GONNA BE MA BABY MOMS IN THE FUTURE___oh wow lol,0
116,@USER_da6d9baa hehe,0
117,Smh ii made formspriinqq but dnt use it lol,0
118,@USER_ab9b724e liike 9,0
119,@USER_f5c280df yeah,0
120,You just dnt undastand _ppl just alwayss wanna eff wiit ma emotioons!!!,0
121,RT @USER_2f5bc961: RT: @USER_ce270acf All ppl #FF my hunniie hunn lol @USER_2f5bc961!!! --- Yu heard it =D__lol,0
122,Well boys will be boys_ and hearts will be hearts!! Smh just boys and heartts dnt miix,0
123,Hold da tweets!! Brb,0
124,Sooo iimma be off thiis!! We hittiinqq da road 2mmorrow :D diss gonna be wac :/,0
125,txtiinQq ma friiends_ on diis bbuss wiith mhadd tiitots lmmao,0
126,@USER_33da6068 thankss !,0
127,@USER_9ab6645a how the buss lol,0
128,Tlk to me twittah I'm bored,0
129,RT @USER_220d37b7: @USER_ce270acf. R u runnin n duh big race----yeahhhh,0
130,Wanna call ppl but idk?!,0
131,@USER_00791b0d hey hunns,0
132,@USER_00791b0d watts supp!!,0
133,Psal mad retardiid_ why am ii reppiinqq dem _fake and annoyiinqq!!,0
134,RT @USER_bdf264de: @USER_ce270acf LOL SHUT UP AND STOP COMPLAING ABOUT EVERYTHING!---lol u dnt knoe what happen!!!,0
135,I'm home siick lol_iimma miss out on da fun 2daii!! Cnt waitt o go home :D,0
136,Won't see the boiis run_ily u guys but ii aint wanna stay_home sweet home,0
137,RT @USER_da6d9baa: RT @USER_ce270acf: Let's tlk twittah_on da bus for mad hours :/yay kimmys comin homee---yayyyy !!!,0
138,RT @USER_0544edb9: RT @USER_ce270acf: Food!!---&gt;greedy lol__lmao shut up,0
139,@USER_0544edb9 yeahhhh,0
140,@USER_a869aa5b lol but I like it,0
141,@USER_0544edb9 lol shut up,0
142,"RT @USER_48cabe06: @USER_4659ef22 yes stop by the house (I'm in ur house ,hurry up )",0
143,Idk if me n jodi goin last forreal...,0
144,RT @USER_422fcf6d: Bout to go have some airsex lol (safest sex out there !!!),0
145,Lmfao this is to funny I win u lose hello duh,0
146,Talkin 2 @USER_94cf046f & @USER_e487ae63 I hate this trini nigga lmfao,0
147,RT @USER_f15cce2b: @USER_4659ef22 my pics better then your (lol neva I'm still cute can't say the same for u),0
148,Holla if u need me u kno ur still my boo!!!,0
149,@USER_9defdc86 lol I herd mad partys...I can't wait lol,0
150,"RT @USER_e276245c: RT @USER_b5ddbedb: #SHOUTOUTS TO @USER_f2bc05e2 OWNS HER OWN SPOT AT A YOUNG AGE,THATS REALLLLLLLL #Rite",0
151,@USER_f2bc05e2 me 2 smh he's a perv,0
152,RT @USER_37c61e7c: dese bitches need to stop suckin niggas dick on twitter n jus go blow they shit in person (iiiee gesh nessie),1
153,@USER_e973319c lmfaaoo niggas on tv got that shhit,0
154,I wudnt ever tell on my brother or nebody for that matta..smh u can't b serious,0
155,Jasmine bold just came in lol my sister is spoiled!!not no rebate involved either ..smh I wonder wat my mom is gettin me for my bday,0
156,I mite pass up march of dimes :-/ !! Idk yet ?!?! Mad dagering goiin b goin on in dat place,0
157,Watchin the 16 n prego!!.y mom is lik omg I'm so happy glen wasn't a loser pppff back way bac,0
158,@USER_0820523d lol on the pc,0
159,RT @USER_9b19ee57: @USER_4659ef22 rofflllll kick in the door waving the 44 all u heard was badgirllexi dont hit me no more lmffaooooooooooo,0
160,RT @USER_94cf046f: #burr (lmfao blow u up to ya girl lik the army grenade..),0
161,RT @USER_94cf046f: @USER_8fa2c261 if u and @USER_4659ef22 do that yall gonna make a mockery out of our friendship(it was ur plan ma ),0
162,"Still up, lol",0
163,RT @USER_422fcf6d: #ff my bad bitches @USER_94cf046f @USER_55e0f4ff @USER_4659ef22 (lol owww how u doin),0
164,@USER_8fa2c261 I'm dyin to kno where u are,0
165,RT @USER_7287ec1f: The nerve of these hoes (stfu ),0
166,I b talkin to my babyfather all day everyday ...âº,0
167,"@USER_9b19ee57 lol he's a dogg tell him get a leash..did I sutter,did I sutter bitch ?!?! Rofl",0
168,RT @USER_00e79e96: @USER_4659ef22 Who madee the rice.? ; I heard her yellinq for SOMEONE to make the rice . Lol (she did !!she kno da deal),0
169,RT @USER_e973319c: I miss my bestie @USER_37c61e7c o'dee! I can't wait till her baby get here!!!on my bday I'm exicted that's my bm,0
170,Ugh @USER_8fa2c261 I don't think I'm goin but will attend in sprit :-/,0
171,"Just got off the phone wit @USER_94cf046f ,@USER_422fcf6d & crazy jade...they drunk n oddee funny ..how u doin?!?",1
172,But where's @USER_55e0f4ff?? Hmmm shawty where u at?,0
173,RT @USER_fc33b4d3: @USER_4659ef22 lmao u ed ! (Lmfaoo u kno me..wat u doin? High as a kite?),0
174,RT @USER_f2bc05e2: Anywhere I go I'm Protected;),0
175,I'm the spokes person for extenze,0
176,@USER_422fcf6d lmfao I'm live ..where u at thru way dutty whinning,0
177,RT @USER_48cabe06: Will dingwalls can suck my dick like my hole dick not half of it.... Rofl ode stop mariah,0
178,@USER_8fa2c261 lol she's 13 that's not funny well half it is rofl,0
179,RT @USER_48cabe06: He needs to sit he's stealin ass down and suck my dick...u r crazy ur mothers child for sure,0
180,@USER_d9f8569a no its not lol,0
181,@USER_d9f8569a mikes hard lemonade,0
182,@USER_d9f8569a lmfao we was the worst ...in truman.awww I miss those days,1
183,@USER_0f09b02a MY BLOCK BROTHER HOW R U??,0
184,@USER_422fcf6d & @USER_94cf046f yall both suck baboon ass lmfao...I miss u too,0
185,"Wen I break,I break I break",0
186,@USER_37c61e7c start wit removing ur location nessa lmfaaaoo,0
187,This bitch esther is a pysco omg lmfao I don't want no kids that didn't come out my. Vaja personally,0
188,WAT HAPPEN U DONT LIK !!?!! Lmfaooo,0
189,RT @USER_d1ae03c2: IF BITCHES GOT A PROBLEM WIT ME DEY SHOULD SPEAK UP,0
190,This movie got me cryin for the past 20 mins...omg tyler perry,0
191,RT @USER_9b19ee57: with my yitches @USER_c6ec5bf6 and @USER_cb421ecc (where u women at??),0
192,ralphmarston: No mere opinion from someone else has the power to hold you back.,0
193,"DoniqueCPerez: When others start engaging you in gossip, walk away. Don't be a part of the rumor.",1
194,"RevRunWisdom: If u move fwd, NO flinching, STR8 ahead, day after day,, doors WILL open & continue 2 open! (on to da nex 1)",0
195,RevRunWisdom: I'm a warrior not a worrier! (power thought),0
196,"ralphmarston: Rejoice in the good fortune of others. Use it as a source of inspiration, and as a reason for expressing gratitude.",0
197,RevRunWisdom: wanna have a peaceful day.. avoid fools with all ur might.. u dont have to answer every call ya know,0
198,drthema: Some people just want attention even if it's negative. Don't get caught up in their hype.,0
199,DoniqueCPerez: Any1 can rise abve situations if they want 2. Just DON'T SINK IN SELF-PITY. It distorts 1's mind/messes up ur chances of ...,0
200,RevRunWisdom: You can have everything in life that you want if you just give enough other ppl in life what they want -(Ziglar) @USER_5400c2af,0
201,"RevRunWisdom: Once u feel is ok to come in second, that's exactly what happens to you in life - (Kennedy)",0
202,"ralphmarston: Feel the reality that you already are enough, and be magnificent.",0
203,RevRunWisdom: Ladies:: Never let your heart cause you to forget to protect whats left of u,0
204,DoniqueCPerez: There R Times U Must Close Your Heart 2 Bitter Feelings Or It Will Devour U Even Though D Person Who Caused It Is The One ...,0
205,"RevRunWisdom: Love is an act of endless forgiveness, a tender look at ur mate that becomes a habit",0
206,drthema: Let your hopes outweigh your fears as you move toward your dreams.,0
207,"DoniqueCPerez: When you help someone who needed help desparately, don't talk/brag/boast about it to your friends. Do it from your heart",0
208,DoniqueCPerez: Don't get discouraged or moved by someone's perception and opinion of you,0
209,RevRunWisdom: Perfectionism is self abuse to the highest degree... If eveything has to be right.. something aint,0
210,drthema: Our words give things power. Speak life & not destructive thoughts about yourself and your future.,0
211,ralphmarston: The way you see yourself becomes the way you make yourself. How do you see yourself?,0
212,DoniqueCPerez: See that door that is opened before U? WALK RIGHT THROUGH IT but lock D 1 U just walked out of. YOUR PATH HAS BEEN CLEA ...,0
213,"kirkfranklin: just landed. feel like talking. whatever mountains u have in your life right now- drugs, depression, divorce, money..just ...",0
214,"RevRunWisdom: The Lord is my Shepherd, I shall not want -(Morning meditation)",0
215,"RevRunWisdom: Many couple mistakenly plan a fairy tale wedding,, when the real focus should be a fairy tale life 2gether",0
216,drthema: Beat the blues by counting your blessings. Things may not be perfect but we are still blessed.,0
217,ralphmarston: The person you are becoming is always watching the person you are right now.,0
218,RevRunWisdom: What is greed? Greed is when ur foolishly competitive & NEVER satisfied! (#gottakeepitincheck),0
219,"RevRunWisdom: If u want others to be happy,, practice compassion,, if u want to be happy,, practice compassion :)",0
220,"ralphmarston: When the going gets difficult, don't waste time looking 4 ways 2 complain.Get busy finding real, workable ways 2 make thin ...",0
221,drthema: Do something today that feeds your spirit and empowers you to start the week from a higher place.,0
222,drthema: Memories are moments that are recorded in our eternity. Be mindful of how u spend your moments.,0
223,"Or I can say ""I will trade u, ur gun for an IGS book""",0
224,@USER_b572e4c3 thanks lol,0
225,@USER_1cfe1871 why fool,0
226,@USER_941f3b89 lol right,0
227,RT @USER_e74b40f7: #nowbumpin till da casket drops | clipse,0
228,Still scrapin the black off of the world to get to the bread,0
229,Columbus columbussss,0
230,"I have to pee but I'm in traffic, where is a cup when u need one",0
231,@USER_176bf994 lol,0
232,@USER_5b1c9f74 lol a bro don't judge me lol,0
233,"Sigh, its easy to resist tho",0
234,Good to be in Columbus tho,0
235,I'm startin to think females really do bring their ugly friends to the club with them,0
236,@USER_941f3b89 when I get bk,0
237,@USER_941f3b89 only when I want to be,0
238,About to grab this personal pan pizza and energy drinks than I'm out,1
239,RT @USER_58ef0019: Man I swear I wana watch Beauty and the Beast right now!// if u are interested about the best just look at @USER_5c79c93f,0
240,Why is it traffic on a sunday,0
241,@USER_e541191c the first time I feel in love with hip hop is when I seen Bow Wow freestylin on BET in the basement lol #BrownSugar,0
242,Rockin to Clipse,0
243,@USER_9a91292d did u do ur case study,0
244,@USER_5c79c93f its either me or adoption because I don't think nobody else will have sex with u. I do charity work lol,0
245,@USER_80ec4866 I will take u and ur whole team on EASY!!! I'm too inky over here lol,0
246,"@USER_941f3b89 sigh, here we go",0
247,Watchin' this repo show man do these ppl kill me,0
248,RT@whiteboytellem: @USER_f730f97b Is thinking about buys NBA 2k10 or live don't no wats better someone help me&lt;-- 2K10 or just wait till 2K11,0
249,RT @USER_a7dacf42:@USER_d9cf8c3c @USER_f730f97b @USER_b65dbf21 flyy guys car group dis year&lt;-- yea we're gonna get the labels done for the cars,0
250,Imma be imma be me me imma be the best you ever seen,0
251,About to run that COD,0
252,Playin' COD..where @ my COD bros @?..,0
253,Rise&Shine,0
254,#nowplaying -Nicki minaj - freaky gurl,0
255,RT @USER_6596cb48: @USER_f730f97b #flashback walkmans n flipping the tape over lol&lt;--I saw a man still usin the walkmans lol,0
256,#nowplaying fabolous - I'm so raw,0
257,#nowplaying fabolous - body ya #over,0
258,RT@RevRunWisdom Let us not adore the ones who ignore us and ignore the ones who adores u,0
259,Yooooooo #freestyle friday round 2 #niceeee this guy got the super kid lmao,0
260,J.parks held it down on #freestyle friday hands down,0
261,RT @USER_e00e8122: @USER_f730f97b I just gave my sister my car keys to take my aunt to work. She just got her G2 yesterday.&lt;-- #over gnr,0
262,Just had a gr8 work out now on my way bac home then wrk life,0
263,#QuestionsThatDontGetRealAnswers &lt;--Any question asked right before or during Sex! #over,0
264,#homelife,0
265,Lights out,0
266,RT @USER_6596cb48: @USER_f730f97b good morning &lt;--same to u beautiful #over,0
267,#nowplaying - mario - better man,0
268,#nowplaying - ludacris ft ne yo - tell me a secret,0
269,#nowplaying - Foxx ft treyz songz -she said,0
270,@USER_f924fb85 so why you not verified on here?!! smh. i feel like you are realer than half of these phony celebs on here.,0
271,@USER_9bb099c2 15 pages??? fuck u mean!!?? damn.,0
272,@USER_e97d1292 lol do u know that song?,0
273,Where do you those rip away jeans?!! @USER_af454d84 and where can I get some?!,0
274,"WTF. Why do you text me, if you're not going to respond when I text you back.? ( -_-) #petpeeve",0
275,Just delete my number.,0
276,Anyway.... ROCK LOBSTER !,0
277,Bye;,0
278,Uncomfortable.,0
279,"I hate it when ppl be feeling themselves, when whole time they b ugly. Smh. Its a damn shame really.",0
280,"anyway, I'm drinkin hot tea bitch.",1
281,"i'm out for a minute. plus my computer going dead, bye;",0
282,@USER_d1fbc677 lol it was aight. Emily was gettin on my nerves tho.,0
283,Bye;,0
284,"so my cousin just askd me 2 go 2 the cottonclub 2nite, i said all I hav is jeans n a t shirt 2wear, he said thats fine. smh. #ghettoshit",1
285,correction - #ghettorichmondshit,1
286,"I kno they mean well, but my family b stressin me out. Shit I aint goin lie, nething that has nothin 2 do wit wayne or art stresses me out",1
287,@USER_462a4ac9 lmao hell yeah! Remember havin to go to jsarge everyday for rosas math class?? Forest hill 71 !!,0
288,I just wanna say none of yall can see me in mad gab! #madgabchamp !,0
289,= ( I wish I wasnt going be Italy next month! & for my bday to. I'm going miss all the fun. FML.,0
290,@USER_617f2af7 good luck! :-D,0
291,"This italy trip is in the way!!! No wait, school is in the way!!",0
292,@USER_e97d1292 txt me! [ if u can ],0
293,@USER_9bb099c2 lmao why the hell you say hey sucka?,0
294,@USER_9bb099c2 u said hey! lol,0
295,"@USER_d1fbc677 ok yeah ur right, but still.",0
296,"anyway, i hate twitter. all niggas tweet about is justin beiber and the jonas brovas. #salty",0
297,@USER_d1fbc677 nah u kno lu dnt b cookin forreal,0
298,HAHAHA OMG! I just found a baggie of weed that I hid from like four/five years ago!! Hahahaha!!!,0
299,errrrrrrr sorry. I feel asleep on you:(,0
300,RT @USER_0495f129: JUST KIDDING.,0
301,"Lol ""John Calvin. He was a grumpy bastard"" haha",1
302,#nowplaying MGMT - Kids,0
303,"I might come, too! ;D RT @USER_61218ecc: You have no idea how long I've been wishing for Mars to play Beale Street!",0
304,I fucking hate the commercial/preview for Psych on the In Bruges DVD,0
305,@USER_ee9c8bbc Awww :),0
306,YOU'RE AN INANIMATE FUCKIN' OBJECT #inbruges,0
307,"Correction, a malt vinegar base~",0
308,@USER_19251f5f LOL I am confused because so much is going on and I'm only half paying attention. So is brown sauce like steak sauce?,0
309,"@USER_b3529b5d lol snap. He prolly denied me, too. Lame.",0
310,"@USER_76591555 ahhhh I don't know how much a â¬ is to a $. XD but that is expensive! Last time I saw them, it was 20 bucks!",0
311,"Oh dear god, I'm such a bad person. How dare I put homework before RP!",0
312,@USER_178d42c9 ughh this week has been soo busy. But I wanna finish ours bb,0
313,@USER_76591555 lol that is insane!,0
314,LOL gawd. I just found out that Jesse McCartney sings that Body Language song. My life will never be the same.,0
315,Going to try and get my ipod to work before the trip. I might buy a cheap mp3 player if I have to.,0
316,@USER_ee9c8bbc great lineup?? Haha. I didn't see anyone I liked besides Hall and Oates,0
317,@USER_ee9c8bbc hmm. I've seen Boys like Boys with hellogoodbye and the rocket summer. They're annoying xD,0
318,@USER_61218ecc did he link to the wolfman trailer?,0
319,@USER_61218ecc I must see this...,0
320,"The voice actors for that movie!! ONCE AGAIN, HUGO WEAVING AND DAVID WENHAM ARE REUNITED AND IT DOES FEEL SO GOODDDD",0
321,@USER_ee9c8bbc get on and and I'll send the folder :3,0
322,"@USER_672b2646 eeep, why?",0
323,"@USER_ee9c8bbc Did you download that from me? If so, that was at my show :)",0
324,@USER_75ecb308 don't you already dress femme? That should contrast the hair,0
325,@USER_76591555 Yss LOLOLOL,0
326,"#now playing ""(Zazie Fait De La) Bicyclette"" - The Plastiscines",0
327,@USER_f43dda55 too discouraged. We'll see.,0
328,lol at peopl not understanding that not every American can use a train. The stations are only in large metro cities.,0
329,DAMN. who knows where that interview is with Shannon saying how he bought Jared a button for xmas? I thought i found it. no dice :(,0
330,@USER_30835063 I thought she looked familiar!,0
331,I was raised Wiccan... I'm thinking about going back to it. I lost myself for awhile,0
332,Going to see Alice in Wonderland today with @USER_bec78a47 and @USER_2d0e3272 and Lindsay,0
333,"Who died Lee? You. Detective U? No, not u, u. Who?...........",0
334,"R u o k?.........yea, I slipped & I fell.....am I bleeding?",0
335,So cold,0
336,@USER_f7fb01ae-Oh. I was thinking bout the Chappelle show when he played Rick James,0
337,Listening II Ego-Trey Songz,0
338,Lakers/Heat game is good rite now,0
339,Let's go lakers,0
340,LET'S GO KOBE!!!!,0
341,Kobe's so calm when he brought the ball down.,0
342,I'm going all out. Lakers got this overtime,0
343,Ok gm back on,0
344,SVU....,0
345,@USER_4edf990f thnxz cutie ;-),0
346,@USER_20aace2a -&gt;LoL :-) ur crazy,0
347,Where is @USER_4e96bf15,0
348,@USER_a23336a5 hey. How's the day off going?,0
349,Where my cuzzo's @?,0
350,@USER_a23336a5 getting myself together,0
351,Brooklyn We Go Hard,0
352,Who's gonna see Brooklyn's Finest this weekend?????,0
353,@USER_16d3b5f0 yea me II but when a black comes out every black person comes out II.,0
354,@USER_4e96bf15 what you up to,0
355,@USER_a23336a5 ain't nothing,0
356,@USER_a23336a5 - oh yea that's my man. Last time I tallk to him was last month,0
357,@USER_9bbc7c03 -oh yea i hear that. Its probably full of purses and shoes,0
358,brb,0
359,S/O II all the mother's that's on Twitter. Ya do the damn thing with parenting.,0
360,"@USER_d2a42b85 lol , I've noticed . nothing wrong with that tho . I feel you on the one class left too .",0
361,"I burnt the shit outta my tongue this morning eating some bomb ass toaster struddle . smh , it was worth it tho .",1
362,RT @USER_1bc7de1a: ay twitches..tryna follow everybody who fux wit me..so hit me up Â«-- what's good :),0
363,just finished writing this english paper . damn fingers are on fire because I was rushing to finish lol .,0
364,@USER_15705a84 aaaw ? lol .,0
365,"RT @USER_15705a84: @USER_064b120e here u get a cookie Â«-- if it aint chocolate chip, then I don't want it lol .",0
366,"@USER_960db46a nothing much , posted up and hungry af . you ?",0
367,now following - @USER_4a4d09c2 :) whutsup?,0
368,"people put on a big front to impress others . fuck that , #irefuseto kiss no one's ass .",0
369,"@USER_4a4d09c2 the ludacris one . have you heard it , he got off on that one .",0
370,I'm tired of being nice to people . always taking it for granted .,0
371,#realthugs don't wear skinny jeans cause my gun don't fit .,0
